cod;Descriere;cantitate;um;pret
1001;Bere skol 0.5l doza;-7.00;buc;2.39
1009;Doncafe mixes cafe cioc 150g;0.00;Buc;8.49
1012;Baton aut rom cel mare dublu 60g;43.00;Buc;2.49
1017;Danone nutriday natural 140g;0.00;Buc;1.25
1027;Turta dulce cu gem vrac;0.00;Kg;12.99
1029;Nuga asortat 35g;-2.00;Buc;0.69
1066;Sugus exotic 80g;0.00;Buc;3.19
1077;Acadele gumy xxl;0.00;Buc;0.75
1091;Foi napolitane pion 200g;8.00;Buc;3.99
1138;Dr.oetker ornamente colorate 80g;-3.00;Buc;4.89
1158;Sham  food  ton maruntit ulei 160g;2.00;Buc;3.99
1168;Sham food  ton intreg ulei 160g;-4.00;Buc;5.99
1180;Bomboane;299.00;Buc;0.15
1210;Malai extra degerminat 1kg;0.00;Buc;3.49
1216;Malai derby 1kg;348.00;Buc;2.99
1225;Malai derby 500g;23.00;Buc;1.49
1230;Gris derby 1kg;160.00;Buc;3.49
1231;Gris derby 500g;3.00;Buc;1.89
1233;Orez derby 500g;-9.00;Buc;2.69
1235;Roua orez 1kg;0.00;Buc;3.49
1237;Atifco orez camolino 1kg;0.00;Buc;5.99
1266;Arnos saratele cascaval 125g;0.00;Buc;2.50
1275;Pate porc sadu 100g;17.00;Buc;2.19
1301;Taitei lati lancram  200g;-17.00;Buc;2.49
1304;Pate bucegi porc scandia 300g;103.00;Buc;5.79
1347;Melci spiralati monte banato 400g;-8.00;Buc;3.99
1350;Pasta tasche  monte banato 400g;13.00;Buc;3.99
1368;Schnitzel pui papane 640g;9.00;Buc;11.99
1370;Corn flakes fortza 150g;-11.00;Buc;2.89
1384;Tedi morcov mar portocala 300ml;0.00;Buc;2.49
1388;Bere golden brau 0.5l doza;-13.00;Buc;3.19
1389;Bere becks 0.5l doza;0.00;Buc;2.99
1391;Faina superioara arpis 1kg;1.00;Buc;2.99
1394;Zizin apa plata 5L;76.00;Buc;4.99
1396;Bere Tuborg   doza 500ml;39.00;Buc;3.29
1398;Bere ursus premium doza 0.5l;82.00;Buc;3.29
1401;Bere Skol 2l;0.00;Buc;7.10
1402;Sare iodata gema extra rosie 1kg;12.00;Buc;1.99
1403;Sare iodata recristalizata albastra 1kg;4.00;Buc;2.19
1404;Sare iodata gema verde 1kg;0.00;Buc;1.39
1415;Faina sup 000 boromir 1kg;110.00;Buc;3.99
1420;Ulei unisol 1l;495.00;Buc;6.99
1424;Ulei  fl soarelui  mister 1L;0.00;Buc;5.99
1425;Ulei bunica 1l;197.00;Buc;6.99
1428;Otet regal 1l;57.00;Buc;3.49
1433;Otet mere miere 0.5l;16.00;Buc;1.89
1434;Otet mere 0.5l;12.00;Buc;1.89
1450;Carne presata porc daralt 400g;-22.00;Buc;3.99
1461;Sacose MT + eco taxa;3228.00;Buc;1.00
